stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
16368,Susquehanna Av & 10th St ,39.9854,-75.149287,,,1
16369,Susquehanna Av & 11th St,39.985652,-75.150657,,,1
16370,Susquehanna Av & 12th St ,39.985836,-75.152463,,,1
16371,Susquehanna Av & 13th St,39.986018,-75.154034,,,1
16372,Susquehanna Av & 15th St,39.986561,-75.157848,,,1
16373,Susquehanna Av & 16th St,39.986743,-75.159442,,,1
16374,Susquehanna Av & 17th St,39.986934,-75.161036,,,1
16375,Susquehanna Av & 18th St,39.987161,-75.162595,,,1
16376,Susquehanna Av & 19th St,39.98736,-75.164071,,,1
16377,Susquehanna Av & 20th St,39.987533,-75.16576,,,1
16378,Susquehanna Av & 21st St ,39.98776,-75.16759,,,1
16382,Oxford Av & Borbeck Av,40.073885,-75.084732,,,1
16383,Oxford Av & Hartel Av ,40.071804,-75.084399,,,1
16384,Oxford Av & Hartel Av - MBFS,40.071036,-75.084272,,,1
16385,York St & Sedgley Av,39.991328,-75.170614,,,1
16386,York St & 24th St,39.991419,-75.171642,,,1
16387,York St & 25th St,39.991628,-75.17326,,,1
16388,York St & 26th St,39.991836,-75.174795,,,1
16389,York St & 27th St - FS,39.992063,-75.176614,,,1
16390,York St & 28th St ,39.992226,-75.177854,,,1
16391,York St & 29th St ,39.992417,-75.179484,,,1
16392,York St & 30th St ,39.992625,-75.181125,,,1
16393,York St & 31st St ,39.992825,-75.18272,,,1
16394,York St & 32nd St ,39.993015,-75.184302,,,1
16395,Aronimink Station,39.949185,-75.306033,,,1
16396,10th St & Pike St,40.011502,-75.143689,,,1
16397,10th St & Butler St ,40.010066,-75.143978,,,1
16398,10th St & Erie Av,40.008451,-75.144339,,,1
16399,Erie Av & 11th St,40.008553,-75.145745,,,1
16401,Erie Av & Camac St ,40.008916,-75.148415,,,1
16402,Aronimink Station,39.949284,-75.306174,,,1
16404,Moreland Rd & Kimball Av ,40.151645,-75.134283,,,2
16405,Welsh Rd  & Computer Av - FS,40.155014,-75.139858,,,2
16406,Welsh Rd & Dryden Rd,40.158697,-75.146179,,,2
16408,Dresher Rd & Welsh Rd - MBFS,40.16373,-75.149039,,,1
16410,Pulaski Av & 17th St ,40.010949,-75.155652,,,1
16411,Pulaski Av & 18th St ,40.012612,-75.156922,,,1
16412,Dresher Rd & Walnut Grove Dr ,40.168575,-75.1446,,,1
16413,Dresher Rd & Witmer Rd ,40.170329,-75.142852,,,1
16414,18th St & Hunting Park Av,40.014369,-75.15669,,,1
16415,Clarissa St & Juniata St,40.016595,-75.158266,,,1
16416,Clarissa St & Bristol St,40.017632,-75.159077,,,1
16417,Dresher Rd & Witmer Rd - MBFS,40.172344,-75.140847,,,1
16418,Gibralter Rd & Blair Mill Rd - MBNS,40.170873,-75.131277,,,1
16419,Electronic Dr & Welsh Rd - MBNS,40.161057,-75.147437,,,2
16420,Prudential Rd & Gibralter Rd -MBFS,40.172577,-75.134857,,,1
16421,Prudential Rd & Lakeside Dr ,40.1715,-75.135835,,,1
16423,Blair Mill Rd & Carrell  Ln - FS,40.167235,-75.132477,,,1
16424,Blair Mill Rd & Witmer Rd - MBNS,40.166059,-75.133666,,,1
16425,Blair Mill Rd & Witmer Rd -1 MBFS,40.163811,-75.136094,,,1
16426,Blair Mill Rd & Welsh Rd - MBNS,40.159274,-75.140812,,,1
16427,Oxford Av & Rockwell Av ,40.066742,-75.08395,,,1
16428,Oxford Av & Verree Rd ,40.065483,-75.083554,,,1
16429,Oxford Av & Bleigh Av ,40.063751,-75.083456,,,1
16430,Rising Sun Av & Cottman Av ,40.061619,-75.083904,,,1
16431,Rising Sun Av & Saint Vincent St,40.059706,-75.086029,,,1
16432,Rising Sun Av & Princeton Av,40.058362,-75.087278,,,1
16433,Rising Sun Av & Tyson Av,40.057053,-75.088503,,,1
16434,Rising Sun Av & Longshore Av,40.055824,-75.089656,,,1
16435,Rising Sun Av & Martins Mill Rd,40.053198,-75.092116,,,1
16436,Rising Sun Av & Magee Av ,40.052246,-75.093078,,,1
16438,Wayne Av & Berkley St,40.022154,-75.16172,,,1
16439,Wayne Av & Apsley St,40.02296,-75.163159,,,1
16440,Wayne Av & Abbottsford Av,40.023686,-75.16448,,,1
16441,Wayne Av & Logan St,40.024591,-75.166144,,,1
16442,Wayne Av & Seymour St,40.025424,-75.16763,,,1
16443,Wayne Av & Hansberry St,40.027288,-75.171028,,,1
16444,Wayne Av & Queen Ln,40.028121,-75.172455,,,1
16445,Wayne Av & Coulter St,40.029223,-75.174461,,,1
16446,Wayne Av & School House Ln,40.030378,-75.176537,,,1
16447,Wayne Av & Rittenhouse St,40.03302,-75.181115,,,1
16448,Wayne Av & Harvey St,40.034005,-75.182838,,,1
16449,Wayne Av & Walnut Ln,40.034802,-75.184195,,,1
16450,Wayne Av & Tulpehocken St,40.035895,-75.186106,,,1
16451,Wayne Av & Washington Ln,40.036629,-75.187428,,,1
16452,Wayne Av & Johnson St,40.038125,-75.18987,,,1
16454,Wayne Av & Upsal St ,40.039227,-75.192586,,,1
16455,Wayne Av & Hortter St,40.039854,-75.193743,,,1
16456,Wayne Av & Springer St ,40.041542,-75.194269,,,1
16457,Wayne Av & Arbutus St,40.042188,-75.196147,,,1
16458,Wayne Av & Westview St ,40.04262,-75.19773,,,1
16459,Sedgwick St & Wayne Av - Loop,40.044204,-75.200101,,,1
16460,Wayne Av & Westview St,40.042718,-75.198037,,,1
16461,Wayne Av & Arbutus St - FS,40.042126,-75.196112,,,1
16462,Wayne Av & Springer St ,40.041578,-75.194387,,,1
16463,Wayne Av & Hortter St ,40.040069,-75.193955,,,1
16464,Wayne Av & Lincoln Dr ,40.039146,-75.192101,,,1
16466,Wayne Av & Washington Ln,40.03671,-75.187664,,,1
16467,Wayne Av & Tulpehocken St,40.035976,-75.186366,,,1
16468,Wayne Av & Walnut Ln,40.034919,-75.184549,,,1
16469,Wayne Av & Harvey St ,40.034014,-75.182956,,,1
16470,Wayne Av & Rittenhouse St,40.03311,-75.181375,,,1
16471,Wayne Av & School House Ln,40.030441,-75.176833,,,1
16472,Wayne Av & Coulter St,40.029286,-75.174721,,,1
16473,Wayne Av & Queen Ln ,40.028121,-75.172573,,,1
16474,Wayne Av & Hansberry St,40.027342,-75.171252,,,1
16475,Wayne Av & Seymour St ,40.025433,-75.167736,,,1
16476,Wayne Av & Logan St,40.024609,-75.166274,,,1
16477,Wayne Av & Abbottsford Av,40.023758,-75.164728,,,1
16478,Wayne Av & Apsley St,40.023014,-75.163348,,,1
16479,Clarissa St & Dennie St,40.019054,-75.160266,,,1
16480,Clarissa St & Bristol St ,40.017758,-75.159254,,,1
16481,Clarissa St & Juniata St,40.016577,-75.158337,,,1
16482,Clarissa St & Hunting Park Av,40.014727,-75.156925,,,1
16483,18th St & Pike St,40.013112,-75.157014,,,1
16489,Erie Av & Old York Rd,40.008646,-75.147671,,,1
16491,10th St & Erie Av - FS,40.008567,-75.144232,,,1
16492,10th St & Butler St,40.009825,-75.143967,,,1
16493,10th St & Pike St,40.011342,-75.143654,,,1
16494,10th St & Luzerne St ,40.012849,-75.143317,,,1
16495,12th St & Locust St ,39.947762,-75.160805,,,1
16496,Oregon Av & 5th St ,39.914981,-75.156431,,,1
16497,Oregon Av & 6th St ,39.915226,-75.158212,,,1
16498,12th St & Spruce St ,39.946531,-75.161117,,,1
16499,12th St & Pine St ,39.945184,-75.161417,,,1
16500,12th St & Lombard St ,39.944274,-75.161598,,,1
16501,12th St & South St ,39.94332,-75.161814,,,1
16502,12th St & Bainbridge St ,39.942267,-75.16203,,,1
16503,12th St & Fitzwater St ,39.941304,-75.162223,,,1
16504,12th St & Catharine St ,39.940421,-75.162427,,,1
16505,12th St & Christian St ,39.939555,-75.162654,,,1
16506,12th St & Carpenter St ,39.938802,-75.162892,,,1
16507,12th St & Ellsworth St ,39.936186,-75.163374,,,1
16509,12th St & Federal St ,39.935015,-75.163663,,,1
16511,12th St & Wharton St,39.933659,-75.163951,,,1
16514,12th St & Reed St ,39.932437,-75.164251,,,1
16516,12th St & Dickinson St ,39.931316,-75.164525,,,1
16518,12th St & Tasker St ,39.930001,-75.164791,,,1
16521,Roxborough Av & Houghton St ,40.03061,-75.209768,,,1
16522,12th St & Morris St ,39.928788,-75.165067,,,1
16523,Roxborough Av & Henry Av ,40.031455,-75.207862,,,1
16524,12 th St & Moore St ,39.927566,-75.165308,,,1
16525,Henry Av & Rector St ,40.030623,-75.207155,,,1
16526,Henry Av & Jamestown St,40.02965,-75.206544,,,1
16527,Henry Av & Walnut Ln ,40.028649,-75.205838,,,1
16528,Henry Av & Markle St,40.027201,-75.204778,,,1
16529,Henry Av & Hermit St ,40.025867,-75.203537,,,1
16530,Henry Av & School House Ln ,40.020502,-75.19253,,,1
16531,Henry Av & Coulter St ,40.017703,-75.1893,,,1
16532,Henry Av & Midvale Av,40.017104,-75.188723,,,1
16533,Henry Av & Queen Ln ,40.015816,-75.187286,,,1
16534,Henry Av & Ainslie St,40.014778,-75.186095,,,1
16535,Henry Av &  Bowman St ,40.013848,-75.184999,,,1
16536,Henry Av & Abbottsford Av ,40.011819,-75.182556,,,1
16537,Hunting Park Av & Henry Av - FS,40.005123,-75.178021,,,1
16538,Hunting Park Av & 29th St,40.005792,-75.176776,,,1
16542,Chalmers Av & Lehigh Av ,39.99738,-75.180104,,,1
16543,Lehigh Av & 31st St,39.99741,-75.181629,,,1
16544,Lehigh Av & Douglas St - MBNS,39.997588,-75.182981,,,1
16545,33rd St & Lehigh Av - FS,39.997551,-75.185173,,,1
16546,33rd St & Huntingdon St,39.996302,-75.185449,,,1
16547,33rd St & Cumberland St,39.99483,-75.185738,,,1
16548,33rd St & York St,39.993286,-75.186038,,,1
16549,33rd St & Dauphin St,39.991904,-75.186374,,,1
16550,33rd St & Susquehanna Av,39.990217,-75.18677,,,1
16551,33rd St & Diamond St,39.988719,-75.187082,,,1
